metric,stat,mc_mean,mc_median,mc_p05,mc_p95,n_mc,hsa_calib,thyroid_weights
TTII,weighted_mean,0.043885462912328733,0.013849162964332841,0.0007822076328913642,0.13173764586684025,200,dsf,auto
TTII,p95,0.07071353069850071,0.03173501811614266,0.0017024976043420205,0.24343805706108448,200,dsf,auto
TTII,p99,0.09493111161337094,0.05070460757438159,0.0032440408339184435,0.36034058140043584,200,dsf,auto
RTII,weighted_mean,0.22244291137206817,0.1627462615041248,0.01367758497564622,0.6291664778610068,200,dsf,auto
RTII,p95,0.31611805012645183,0.2854915583268115,0.02899152405947628,0.6958887736074539,200,dsf,auto
RTII,p99,0.3791531002191661,0.370702020900018,0.04930012891556903,0.729499098668199,200,dsf,auto
RTII_equal,weighted_mean,0.1966354458899565,0.17750331577927547,0.014752272129393132,0.4634936882148649,200,dsf,auto
RTII_equal,p95,0.28487647147524575,0.29954202851161327,0.03479882040949382,0.5924261930969779,200,dsf,auto
RTII_equal,p99,0.3451819773543494,0.3481847015190186,0.06146607300961114,0.6339920547668576,200,dsf,auto
RTII_weighted,weighted_mean,0.22244291137206817,0.1627462615041248,0.01367758497564622,0.6291664778610068,200,dsf,auto
RTII_weighted,p95,0.31611805012645183,0.2854915583268115,0.02899152405947628,0.6958887736074539,200,dsf,auto
RTII_weighted,p99,0.3791531002191661,0.370702020900018,0.04930012891556903,0.729499098668199,200,dsf,auto
OBI_total,weighted_mean,0.13316418714219846,0.0931440878155064,0.01007638196376111,0.3565925429675976,200,dsf,auto
OBI_total,p95,0.19190084266406907,0.16444856383284673,0.022353529361376513,0.41538345600201254,200,dsf,auto
OBI_total,p99,0.23293746481540928,0.21393796055178352,0.043720872922370944,0.4622470822263954,200,dsf,auto
T4_free_ratio_change,weighted_mean,0.1166685963603551,0.020016354052265622,0.0009638174027480755,0.22723501922589126,200,dsf,auto
T4_free_ratio_change,p95,0.20935988318613227,0.044883732661840314,0.002177296019909663,0.47579365355187087,200,dsf,auto
T4_free_ratio_change,p99,0.28684261222044327,0.07155807859249104,0.004165818488891859,0.7658706729902998,200,dsf,auto
