feature,importance
HeavyAtomCount,0.6608754750084171
MolWt,0.10968717570351962
LogP,0.038914117598262625
ECFP4_183,0.013314586117194434
FractionCSP3,0.011255201605177123
TPSA,0.010964848437358787
ECFP4_90,0.010316001842979337
ECFP4_289,0.006880086763725121
ECFP4_404,0.006487613347279869
HBA,0.005884913252325278
ECFP4_59,0.005585707617339449
ECFP4_71,0.004678252494041399
ECFP4_147,0.004455203526705061
ECFP4_80,0.004335330659500697
ECFP4_374,0.003907057770147985
ECFP4_415,0.0038244242024578047
ECFP4_473,0.0036426814236825266
HBD,0.003545147563082048
ECFP4_158,0.0030159826901005556
ECFP4_123,0.002917271419662653
ECFP4_294,0.0024940770133971865
ECFP4_203,0.002358804072911612
ECFP4_460,0.0022217490965181297
ECFP4_1,0.0021328624963725734
ECFP4_28,0.002060755289531442
ECFP4_490,0.0020055542900110123
ECFP4_452,0.0019116890744250495
ECFP4_26,0.0018963402141806006
ECFP4_33,0.0018355982742541972
ECFP4_487,0.0017648027990840396
ECFP4_284,0.0016982731445044739
ECFP4_295,0.0014610608820164025
ECFP4_239,0.0014079208620569605
ECFP4_105,0.0014044214509461935
ECFP4_27,0.0013827226431984804
ECFP4_273,0.0013259096502422655
ECFP4_293,0.0013060112131645914
ECFP4_222,0.0012662919084085128
ECFP4_329,0.0012556122396218611
ECFP4_150,0.0012400878205535855
ECFP4_138,0.0011819301033769514
ECFP4_57,0.0011780340609123512
ECFP4_282,0.0010704439026030061
ECFP4_192,0.0010343317606176438
ECFP4_73,0.0009549880763579894
ECFP4_381,0.0008807321792403708
ECFP4_442,0.0008776289471741038
ECFP4_486,0.0008619052946837633
ECFP4_469,0.0008617754855317272
ECFP4_362,0.0008316969117285195
ECFP4_111,0.0007724473260113966
ECFP4_372,0.0007669312190433597
ECFP4_174,0.0007665552493866928
ECFP4_360,0.0007514768547176195
ECFP4_115,0.0007443793223416494
ECFP4_314,0.0007256669791413953
ECFP4_128,0.0007231074328840548
ECFP4_311,0.0007222866116728593
ECFP4_500,0.0007215809481499545
ECFP4_58,0.0006818809678535345
ECFP4_202,0.0006711004632603166
ECFP4_8,0.0006694621033056483
ECFP4_149,0.0006665061091096723
ECFP4_259,0.0006482183492372324
ECFP4_328,0.0006226652096854639
ECFP4_508,0.0006071270724387523
ECFP4_247,0.0006067592657996683
ECFP4_496,0.0005898625365258314
ECFP4_347,0.0005722806671950844
ECFP4_351,0.0005692007317924885
ECFP4_217,0.000522673041672637
ECFP4_154,0.0005086031631821829
ECFP4_340,0.0005030475166364644
ECFP4_369,0.0004996031987067111
ECFP4_409,0.0004963165816427504
ECFP4_199,0.00048643105352517475
ECFP4_136,0.0004749477133849274
ECFP4_106,0.00046112902186613456
ECFP4_505,0.00045969509532659805
ECFP4_300,0.00045558303995176674
ECFP4_350,0.0004516623998202822
ECFP4_161,0.00044777323551157774
ECFP4_278,0.00044527734189163447
ECFP4_220,0.00044324397025372124
ECFP4_342,0.00043439072074639897
ECFP4_195,0.00042802992760816944
ECFP4_303,0.0004241020222433446
ECFP4_144,0.00041958093934947783
ECFP4_440,0.00041384090590384874
ECFP4_266,0.000404728568374703
ECFP4_361,0.0003745986838819271
ECFP4_7,0.0003688661376038497
ECFP4_375,0.000357026213076696
ECFP4_118,0.0003556475497623723
ECFP4_385,0.00035548904790938746
ECFP4_493,0.00035494311723939596
ECFP4_359,0.00034836112041843254
ECFP4_182,0.0003470104589557352
ECFP4_109,0.000345389478880237
ECFP4_349,0.0003385780383172298
ECFP4_483,0.0003370043957734014
ECFP4_313,0.00033412764685791796
ECFP4_291,0.00033382646351900574
ECFP4_337,0.00032404177388082586
ECFP4_13,0.0003206611629164387
ECFP4_348,0.0003174323870951851
ECFP4_70,0.0003124972957518881
ECFP4_214,0.0003068778136742791
ECFP4_29,0.00029862279911105816
ECFP4_184,0.000294687280515546
ECFP4_227,0.00029016939263680806
ECFP4_113,0.0002893795913880175
ECFP4_152,0.0002842681621078126
ECFP4_39,0.0002759437344459143
ECFP4_229,0.0002647587867358364
ECFP4_386,0.00026416031297350556
ECFP4_509,0.00025960693040855603
ECFP4_49,0.00024809099435072374
ECFP4_38,0.00024320533740195265
ECFP4_102,0.00022650461552347134
