feature,mean_abs_shap
HeavyAtomCount,0.4976079713785163
MolWt,0.10802320183749287
ECFP4_183,0.04231979287104471
LogP,0.026332486593455745
ECFP4_59,0.017222208040376275
ECFP4_404,0.017219037287456683
ECFP4_80,0.01263371972290287
ECFP4_147,0.01243025414819418
FractionCSP3,0.011995722343361064
ECFP4_374,0.01180165227512114
HBA,0.010212411770053007
ECFP4_90,0.007557348215412857
ECFP4_473,0.006462382699594632
TPSA,0.0063519438769654695
ECFP4_289,0.0053211104499415384
ECFP4_452,0.004871647480398547
ECFP4_26,0.004766655849854523
ECFP4_415,0.004247519141926247
ECFP4_123,0.003915570742158729
ECFP4_487,0.003846829716800742
ECFP4_294,0.0038220148496464924
HBD,0.0037741918666911746
ECFP4_28,0.003574037169637556
ECFP4_239,0.003510644774483261
ECFP4_1,0.0033920324747552075
ECFP4_284,0.002915224243277132
ECFP4_203,0.002689257835604428
ECFP4_27,0.002566323737483091
ECFP4_158,0.002347022503554618
ECFP4_490,0.002190991538279966
ECFP4_138,0.002177103966397582
ECFP4_460,0.002138269840460683
ECFP4_33,0.002034704617577638
ECFP4_192,0.002006684666967732
ECFP4_486,0.001964378201130193
ECFP4_150,0.0019043107447637877
ECFP4_71,0.0018459332598768454
ECFP4_295,0.001827492487598578
ECFP4_105,0.0018134040905368252
ECFP4_273,0.0017825197115408043
ECFP4_293,0.0017240978067190418
ECFP4_442,0.0015291820174080854
ECFP4_144,0.0014390527491886353
ECFP4_360,0.0014184010512123277
ECFP4_57,0.00138281781328762
ECFP4_469,0.0013165123486668534
ECFP4_314,0.0012352747550453647
ECFP4_111,0.001218160279973784
ECFP4_222,0.0011822906529595832
ECFP4_217,0.0011385727276706837
ECFP4_362,0.0011352905342823297
ECFP4_202,0.0011300503990940975
ECFP4_259,0.0011280657471256397
ECFP4_73,0.0010704781709627738
ECFP4_329,0.0010496585260506418
ECFP4_328,0.0010163363846493576
ECFP4_500,0.0009861986040680577
ECFP4_149,0.0009552417778135869
ECFP4_381,0.0009522855833591392
ECFP4_409,0.0008900715088770225
ECFP4_282,0.0008866917319833482
ECFP4_227,0.0008634679834843939
ECFP4_136,0.0008375961654308363
ECFP4_154,0.0008368179658186835
ECFP4_174,0.0008324328236578201
ECFP4_351,0.0008177260105188407
ECFP4_311,0.0008147162817553102
ECFP4_505,0.0008054471777414245
ECFP4_161,0.0007990599232943032
ECFP4_128,0.0007782806744170094
ECFP4_8,0.0007536620544542662
ECFP4_361,0.0007070760639074274
ECFP4_115,0.0007043312082160785
ECFP4_350,0.0006406164146904371
ECFP4_266,0.0006356906059904667
ECFP4_483,0.0006308185937172443
ECFP4_247,0.0006235748659974235
ECFP4_58,0.0006193846320111767
ECFP4_214,0.0006176223309123781
ECFP4_278,0.0006014280668351198
ECFP4_303,0.0005941825116926589
ECFP4_496,0.00056995625752246
ECFP4_359,0.0005611862592357383
ECFP4_347,0.0005578533135826327
ECFP4_337,0.0005536936821507529
ECFP4_7,0.0005396029343262279
ECFP4_118,0.0005315622982710351
ECFP4_369,0.0005262062099735911
ECFP4_340,0.0005243982896054448
ECFP4_184,0.0005208103479368727
ECFP4_152,0.000520359328547301
ECFP4_220,0.0005182253882676916
ECFP4_440,0.0005084155609374036
ECFP4_199,0.0004782785296962636
ECFP4_508,0.00047818361630271467
ECFP4_372,0.0004706829780967864
ECFP4_229,0.0004683929972195574
ECFP4_493,0.0004667414782512893
ECFP4_182,0.0004609246164309613
ECFP4_342,0.00044769070559607825
ECFP4_112,0.00043362895119039617
ECFP4_195,0.00042188022165033206
ECFP4_313,0.0004204775777183854
ECFP4_349,0.0004161584574103443
ECFP4_385,0.0004002079401747829
ECFP4_448,0.0003923230353989188
ECFP4_106,0.0003915736735119895
ECFP4_375,0.0003828012860957817
ECFP4_49,0.00038212435890902025
ECFP4_291,0.0003780019564017778
ECFP4_70,0.0003749680357504522
ECFP4_408,0.00037458877011207976
ECFP4_201,0.0003734392119333337
ECFP4_477,0.00036642251255728804
ECFP4_160,0.0003628143792548713
ECFP4_386,0.000355890856840213
ECFP4_267,0.0003425063589025999
ECFP4_348,0.0003420062964047523
ECFP4_300,0.0003264402992765038
ECFP4_509,0.00031828578984118976
